Month,Hijri,Day,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
February,Rajab-Shaban,1,05:27 AM,06:45 AM,12:16 PM,03:25 PM,05:47 PM,07:06 PM
February,Rajab-Shaban,2,05:27 AM,06:44 AM,12:17 PM,03:26 PM,05:48 PM,07:06 PM
February,Rajab-Shaban,3,05:26 AM,06:44 AM,12:17 PM,03:26 PM,05:49 PM,07:07 PM
February,Rajab-Shaban,4,05:26 AM,06:43 AM,12:17 PM,03:27 PM,05:50 PM,07:08 PM
February,Rajab-Shaban,5,05:26 AM,06:43 AM,12:17 PM,03:27 PM,05:50 PM,07:08 PM
February,Rajab-Shaban,6,05:25 AM,06:42 AM,12:17 PM,03:28 PM,05:51 PM,07:09 PM
February,Rajab-Shaban,7,05:25 AM,06:42 AM,12:17 PM,03:28 PM,05:52 PM,07:09 PM
February,Rajab-Shaban,8,05:24 AM,06:41 AM,12:17 PM,03:29 PM,05:52 PM,07:10 PM
February,Rajab-Shaban,9,05:24 AM,06:41 AM,12:17 PM,03:29 PM,05:53 PM,07:11 PM
February,Rajab-Shaban,10,05:23 AM,06:40 AM,12:17 PM,03:30 PM,05:54 PM,07:11 PM
February,Rajab-Shaban,11,05:23 AM,06:39 AM,12:17 PM,03:30 PM,05:54 PM,07:12 PM
February,Rajab-Shaban,12,05:22 AM,06:39 AM,12:17 PM,03:31 PM,05:55 PM,07:12 PM
February,Rajab-Shaban,13,05:22 AM,06:38 AM,12:17 PM,03:31 PM,05:56 PM,07:13 PM
February,Rajab-Shaban,14,05:21 AM,06:37 AM,12:17 PM,03:31 PM,05:56 PM,07:13 PM
February,Rajab-Shaban,15,05:20 AM,06:37 AM,12:17 PM,03:32 PM,05:57 PM,07:14 PM
February,Rajab-Shaban,16,05:20 AM,06:36 AM,12:17 PM,03:32 PM,05:57 PM,07:14 PM
February,Rajab-Shaban,17,05:19 AM,06:35 AM,12:17 PM,03:33 PM,05:58 PM,07:15 PM
February,Rajab-Shaban,18,05:18 AM,06:35 AM,12:17 PM,03:33 PM,05:59 PM,07:15 PM
February,Rajab-Shaban,19,05:18 AM,06:34 AM,12:17 PM,03:33 PM,05:59 PM,07:16 PM
February,Rajab-Shaban,20,05:17 AM,06:33 AM,12:17 PM,03:34 PM,06:00 PM,07:17 PM
February,Rajab-Shaban,21,05:16 AM,06:32 AM,12:17 PM,03:34 PM,06:00 PM,07:17 PM
February,Rajab-Shaban,22,05:16 AM,06:31 AM,12:17 PM,03:34 PM,06:01 PM,07:18 PM
February,Rajab-Shaban,23,05:15 AM,06:31 AM,12:16 PM,03:34 PM,06:02 PM,07:18 PM
February,Rajab-Shaban,24,05:14 AM,06:30 AM,12:16 PM,03:35 PM,06:02 PM,07:19 PM
February,Rajab-Shaban,25,05:13 AM,06:29 AM,12:16 PM,03:35 PM,06:03 PM,07:19 PM
February,Rajab-Shaban,26,05:12 AM,06:28 AM,12:16 PM,03:35 PM,06:03 PM,07:20 PM
